MIL,102.4,100.9
GSW,97.7,108.7
MIN,113.5,103.4
MIA,108.2,107.6
ATL,110.0,109.2
BOS,109.9,107.3
DET,106.3,100.4
NYK,110.4,105.6
DEN,109.6,107.9
DAL,106.2,116.4
BKN,105.9,105.5
POR,101.8,111.4
ORL,107.1,101.4
TOR,102.7,115.1
CLE,106.6,110.2
SAS,98.1,104.2
CHA,107.9,101.2
UTA,111.1,105.4
CHI,105.7,107.3
CHO,107.9,101.2
HOU,98.0,104.0
WAS,103.7,104.5
LAL,116.7,106.8
PHI,108.0,92.2
PHO,105.3,108.5
MEM,100.7,108.8
LAC,107.1,110.3
SAC,106.3,108.4
OKC,103.3,98.8
PHX,105.3,108.5
BRK,105.9,105.5
IND,104.2,101.7
NOP,107.8,110.8
