MIL,103.8,103.6
GSW,97.6,108.8
MIN,112.5,102.5
MIA,109.1,105.9
ATL,105.9,109.8
BOS,108.3,106.0
DET,106.9,99.8
NYK,110.0,104.0
DEN,109.2,107.5
DAL,107.5,115.3
BKN,105.3,103.0
POR,101.4,109.4
ORL,106.9,100.7
TOR,106.3,115.7
CLE,105.9,110.7
SAS,99.5,106.3
CHA,108.5,100.9
UTA,113.5,106.6
CHI,104.8,107.7
CHO,108.5,100.9
HOU,100.0,105.1
WAS,101.7,106.5
LAL,115.4,107.2
PHI,106.9,93.4
PHO,105.6,108.1
MEM,101.7,108.7
LAC,104.7,112.3
SAC,107.6,107.7
OKC,102.5,100.5
PHX,105.6,108.1
BRK,105.3,103.0
IND,103.8,100.8
NOP,107.5,107.9
