MIL,105.0,103.8
GSW,97.6,109.0
MIN,112.8,101.9
MIA,109.8,105.8
ATL,104.5,109.5
BOS,107.7,106.0
DET,106.5,99.6
NYK,110.1,104.2
DEN,109.0,106.7
DAL,107.5,116.0
BKN,106.2,102.8
POR,101.7,109.6
ORL,106.9,101.4
TOR,106.3,115.4
CLE,105.5,111.3
SAS,99.8,107.3
CHA,108.5,100.9
UTA,113.2,106.2
CHI,105.4,107.6
CHO,108.5,100.9
HOU,99.9,105.0
WAS,102.2,106.1
LAL,115.2,106.5
PHI,106.2,93.9
PHO,105.9,107.9
MEM,101.9,109.4
LAC,105.5,113.4
SAC,107.6,107.7
OKC,102.5,100.7
PHX,105.9,107.9
BRK,106.2,102.8
IND,104.1,100.4
NOP,108.1,108.2
