MIL,105.0,103.8
GSW,98.1,109.2
MIN,113.3,102.6
MIA,109.8,105.8
ATL,105.1,109.5
BOS,107.3,105.5
DET,106.5,99.6
NYK,110.1,104.2
DEN,108.9,106.7
DAL,107.5,116.0
BKN,105.3,103.0
POR,101.7,109.6
ORL,106.9,101.4
TOR,106.3,115.7
CLE,105.9,110.7
SAS,99.8,107.3
CHA,108.5,100.9
UTA,113.5,106.6
CHI,105.4,107.6
CHO,108.5,100.9
HOU,99.9,105.0
WAS,101.5,105.6
LAL,115.2,106.5
PHI,106.2,93.9
PHO,105.5,107.7
MEM,101.9,109.4
LAC,105.1,113.5
SAC,108.1,107.8
OKC,102.5,100.7
PHX,105.5,107.7
BRK,105.3,103.0
IND,103.8,100.8
NOP,108.1,108.2
