MIL,104.1,102.7
GSW,98.3,108.5
MIN,114.4,103.7
MIA,108.0,106.5
ATL,107.6,109.8
BOS,110.3,106.0
DET,107.2,100.0
NYK,110.3,103.9
DEN,108.5,108.5
DAL,106.6,115.7
BKN,106.0,104.8
POR,102.4,110.6
ORL,106.2,100.7
TOR,105.0,115.1
CLE,106.8,110.9
SAS,98.9,106.2
CHA,108.3,100.3
UTA,111.9,105.7
CHI,105.1,107.8
CHO,108.3,100.3
HOU,99.6,104.7
WAS,102.8,105.1
LAL,115.9,108.7
PHI,108.3,93.6
PHO,105.2,107.2
MEM,100.4,109.2
LAC,105.8,112.2
SAC,108.1,108.3
OKC,102.8,100.0
PHX,105.2,107.2
BRK,106.0,104.8
IND,105.0,102.0
NOP,107.1,109.3
