MIL,103.8,103.6
GSW,98.1,109.2
MIN,113.3,102.6
MIA,109.1,105.9
ATL,105.9,109.8
BOS,108.3,106.0
DET,106.6,99.5
NYK,110.0,104.0
DEN,109.2,107.5
DAL,107.5,115.3
BKN,105.3,103.0
POR,101.4,109.4
ORL,106.9,101.4
TOR,106.3,115.7
CLE,105.9,110.7
SAS,99.8,107.3
CHA,108.5,100.9
UTA,113.5,106.6
CHI,105.4,107.6
CHO,108.5,100.9
HOU,99.9,105.0
WAS,101.7,106.5
LAL,115.4,107.2
PHI,106.2,93.9
PHO,105.5,107.7
MEM,101.7,108.7
LAC,105.1,113.5
SAC,108.1,107.8
OKC,102.5,100.5
PHX,105.5,107.7
BRK,105.3,103.0
IND,103.8,100.8
NOP,108.9,108.1
