MIL,103.6,102.3
GSW,97.9,108.6
MIN,113.6,104.0
MIA,107.1,107.1
ATL,107.8,109.8
BOS,110.4,106.1
DET,106.9,99.9
NYK,110.1,103.7
DEN,108.7,108.7
DAL,106.2,115.8
BKN,105.9,104.3
POR,102.2,110.7
ORL,106.2,100.4
TOR,104.3,114.4
CLE,106.6,110.8
SAS,98.7,106.1
CHA,108.3,100.3
UTA,112.0,105.6
CHI,104.4,107.4
CHO,108.3,100.3
HOU,99.6,104.7
WAS,103.1,104.1
LAL,116.8,108.5
PHI,108.3,93.0
PHO,105.5,106.7
MEM,100.4,109.2
LAC,106.2,111.2
SAC,107.1,107.7
OKC,102.3,99.9
PHX,105.5,106.7
BRK,105.9,104.3
IND,104.3,102.3
NOP,107.4,109.2
