"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,29942840,"CONDIA",0,279.25,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Kevin Love,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Damian Lillard,(PF) Taj Gibson"
2,29958736,"Kcannon",0,277.50,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Danny Green,(SG) Jimmy Butler"
3,30016273,"labo2000",0,275.00,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Tony Allen,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Jared Sullinger,(PG) Rajon Rondo,(PF) Markieff Morris"
3,30054633,"Dinkpiece",0,275.00,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Tony Allen,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(PG) Mario Chalmers,(PG) Cory Joseph"
5,30009957,"Dlmccoy",0,273.50,"(PG) Rajon Rondo,(SG) Avery Bradley,(SF) Tobias Harris,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Kenneth Faried,(SG) Jimmy Butler,(PG) Mario Chalmers"
6,29959756,"eppy12588",0,271.75,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
6,30043895,"eppy12588",0,271.75,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
8,30011165,"LWally9",0,271.50,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Marcus Morris"
9,30023255,"EmpireMaker2",0,269.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Marcus Morris,(C) Chris Bosh,(SF) Jeff Green,(PG) Mario Chalmers,(PG) Ty Lawson"
10,29932260,"Talapia69",0,265.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Kentavious Caldwell-Pope"
11,30054046,"TeeJayOrTj",0,263.50,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Jared Sullinger,(C) Nikola Vucevic,(PF) Nerlens Noel,(PG) Rajon Rondo,(PG) Mario Chalmers"
12,30057336,"Mtom347",0,261.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Joakim Noah,(PF) Anthony Davis,(SG) Avery Bradley,(PG) Mario Chalmers"
13,30012637,"Brambo300",0,260.50,"(PG) Rajon Rondo,(SG) Danny Green,(SF) Danny Granger,(PF) Anthony Davis,(C) Nikola Vucevic,(PF) Nerlens Noel,(PG) Mario Chalmers,(SG) Lance Stephenson"
14,29947727,"violator",0,257.25,"(PG) Kirk Hinrich,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Robin Lopez,(PF) Anthony Davis,(SG) Victor Oladipo,(PG) Kyrie Irving"
15,30042431,"dcorsi24",0,256.25,"(PG) Rajon Rondo,(SG) Lance Stephenson,(SF) Jeff Green,(PF) Ryan Anderson,(C) Tyson Chandler,(SF) Wilson Chandler,(SG) Jimmy Butler,(PG) Kirk Hinrich"
16,30003890,"Scuba3321",0,254.50,"(PG) Kirk Hinrich,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Anthony Davis,(C) Anderson Varejao,(PF) Channing Frye,(PG) Mario Chalmers,(PG) Damian Lillard"
17,29935041,"pianoclub",0,253.50,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Tony Allen,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Anthony Davis,(SG) Victor Oladipo,(SF) LeBron James"
18,30011167,"LWally9",0,253.25,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Brook Lopez,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Marcus Morris"
19,29953781,"MakeItRain84",0,253.00,"(PG) Cory Joseph,(SG) Danny Green,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Blake Griffin,(PG) Mario Chalmers,(PF) Kevin Love"
20,29981130,"champ1016",0,252.50,"(PG) Mike Conley,(SG) Wesley Matthews,(SF) Trevor Ariza,(PF) Anthony Davis,(C) Anderson Varejao,(PF) Taj Gibson,(SG) Monta Ellis,(SF) Caron Butler"
21,29953321,"MakeItRain84",0,248.75,"(PG) Cory Joseph,(SG) Gerald Henderson,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Kevin Love,(PG) Michael Carter-Williams,(PF) Blake Griffin"
22,29948323,"Kaetorade",0,247.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Shawne Williams,(PF) Anthony Davis,(C) Chris Bosh,(PF) Channing Frye,(SG) Gerald Green,(SG) Danny Green"
23,29987347,"DraftCheat",0,246.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Channing Frye,(C) Nikola Vucevic,(SF) Jeff Green,(PG) Rajon Rondo,(PG) Tony Wroten"
24,30042756,"steelcurtain1975",0,243.50,"(PG) Rajon Rondo,(SG) Evan Fournier,(SF) Shawne Williams,(PF) Anthony Davis,(C) Dwight Howard,(PF) Marcus Morris,(PG) Austin Rivers,(SG) Courtney Lee"
25,29952108,"bmgraphx",0,243.25,"(PG) Tony Parker,(SG) Jimmy Butler,(SF) Tony Allen,(PF) Blake Griffin,(C) Nikola Vucevic,(PF) Darrell Arthur,(PG) Ty Lawson,(C) J.J. Hickson"
26,30050770,"TwoGun",0,242.75,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Donatas Motiejunas,(PF) Kevin Love,(C) Brook Lopez,(PF) Anthony Davis,(PG) Rajon Rondo,(PF) Nerlens Noel"
27,30022021,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
27,30022022,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
27,30022023,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
27,30022024,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
27,30022025,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
27,30022026,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
33,30011169,"LWally9",0,237.25,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) LeBron James,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Kevin Garnett,(PG) Mario Chalmers,(SG) Kentavious Caldwell-Pope"
34,29943655,"MLZ29",0,236.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Evan Turner,(PF) Ryan Anderson,(C) Al Jefferson,(SF) Jeff Green,(SG) Dion Waiters,(PG) Kyrie Irving"
34,29943656,"MLZ29",0,236.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Evan Turner,(PF) Ryan Anderson,(C) Al Jefferson,(SF) Jeff Green,(SG) Dion Waiters,(PG) Kyrie Irving"
