"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,29999592,"cheddabisque",4,277.75,"(PG) Kyrie Irving,(SG) Avery Bradley,(SF) Shawn Marion,(PF) Markieff Morris,(C) Chris Bosh,(PF) Nerlens Noel,(SG) Jamal Crawford,(PF) Anthony Davis"
2,29942886,"CONDIA",4,274.25,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Kevin Love,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Damian Lillard,(PF) Taj Gibson"
3,30001958,"IIDzNuTzII",4,270.75,"(PG) Mario Chalmers,(SG) Dion Waiters,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Jimmy Butler"
4,30023262,"EmpireMaker2",0,269.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Marcus Morris,(C) Chris Bosh,(SF) Jeff Green,(PG) Mario Chalmers,(PG) Ty Lawson"
5,30030122,"Kobe4MVP",0,264.50,"(PG) Rajon Rondo,(SG) Kentavious Caldwell-Pope,(SF) Tobias Harris,(PF) Nerlens Noel,(C) Al Jefferson,(PF) Markieff Morris,(PG) Mario Chalmers,(C) Chris Bosh"
6,30043898,"eppy12588",4,264.00,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Avery Bradley"
7,29948169,"atctexas",0,261.50,"(PG) Goran Dragic,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Gerald Henderson,(PG) Damian Lillard"
8,29961109,"clearcuttension",8,254.75,"(PG) Aaron Brooks,(SG) Arron Afflalo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Jimmy Butler,(SF) Kawhi Leonard"
9,29951705,"Makisupa",0,252.50,"(PG) Mario Chalmers,(SG) Tyreke Evans,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Markieff Morris,(PG) Rajon Rondo,(SF) Jeff Green"
10,29953325,"MakeItRain84",4,248.75,"(PG) Cory Joseph,(SG) Gerald Henderson,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Kevin Love,(PG) Michael Carter-Williams,(PF) Blake Griffin"
11,30003858,"absolutbronx",0,248.25,"(PG) Kyrie Irving,(SG) Lance Stephenson,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Robin Lopez,(PF) Anthony Davis,(SG) James Ennis,(PG) Rajon Rondo"
12,29995341,"Nookx",4,247.00,"(PG) Mario Chalmers,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Anthony Davis,(PG) Rajon Rondo,(PF) Marcus Morris"
12,29948340,"Kaetorade",0,247.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Shawne Williams,(PF) Anthony Davis,(C) Chris Bosh,(PF) Channing Frye,(SG) Gerald Green,(SG) Danny Green"
