"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
27,30010266,"ExpertLevel33",4,241.50,"(PG) Tony Wroten,(SG) Joe Johnson,(SF) Jeff Green,(PF) Anthony Davis,(C) Tyson Chandler,(SF) Luc Richard Mbah a Moute,(SG) Courtney Lee,(SG) Jamal Crawford"
28,29956135,"VanarJaddou8899",4,240.75,"(PG) Jrue Holiday,(SG) Lance Stephenson,(SF) Caron Butler,(PF) Zach Randolph,(C) Andre Drummond,(PF) Blake Griffin,(SG) Danny Green,(PF) Marcus Morris"
29,30022027,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
29,30022028,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
29,30022029,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
29,30022030,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
29,30022031,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
29,30022032,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
35,30011134,"LWally9",0,237.25,"(PG) Rajon Rondo,(SG) Tyreke Evans,(SF) LeBron James,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Kevin Garnett,(PG) Mario Chalmers,(SG) Kentavious Caldwell-Pope"
36,29933621,"p097138",0,236.25,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Markieff Morris,(C) Tyson Chandler,(PF) Kevin Love,(PG) Tony Wroten,(SG) Lance Stephenson"
37,29943657,"MLZ29",0,236.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Evan Turner,(PF) Ryan Anderson,(C) Al Jefferson,(SF) Jeff Green,(SG) Dion Waiters,(PG) Kyrie Irving"
37,29943658,"MLZ29",0,236.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Evan Turner,(PF) Ryan Anderson,(C) Al Jefferson,(SF) Jeff Green,(SG) Dion Waiters,(PG) Kyrie Irving"
37,30010724,"thalooch",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
37,30017353,"BirdWings",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
41,30052190,"papagates",0,234.75,"(PG) Rajon Rondo,(SG) Manu Ginobili,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Kentavious Caldwell-Pope,(SG) Lance Stephenson"
42,30033863,"g123",0,233.75,"(PG) Mario Chalmers,(SG) Danny Green,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Chris Bosh,(SF) Jeff Green,(PG) Brandon Jennings,(C) Al Jefferson"
43,29934154,"novice1",0,233.25,"(PG) Ty Lawson,(SG) Kentavious Caldwell-Pope,(SF) Wilson Chandler,(PF) Nerlens Noel,(C) Tyson Chandler,(SF) LeBron James,(PG) Rajon Rondo,(SF) Donatas Motiejunas"
44,30011644,"youdacao",0,232.00,"(PG) Ty Lawson,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Greg Monroe,(PG) Mario Chalmers,(C) Chris Bosh"
45,30003824,"Scuba3321",8,228.50,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Greg Monroe,(C) Joakim Noah,(PF) Jared Sullinger,(PG) Damian Lillard,(PG) Aaron Brooks"
46,30045045,"Andydubb",0,226.25,"(PG) Rajon Rondo,(SG) Lance Stephenson,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Courtney Lee"
47,30007069,"terribad",0,225.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Anthony Davis,(PG) Mario Chalmers,(PF) Channing Frye"
48,30058577,"00oreo00",0,224.25,"(PG) Tony Wroten,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Dwight Howard,(PF) Anthony Davis,(SG) Victor Oladipo,(SG) Tyreke Evans"
49,30019738,"Notorious",0,223.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(SG) Eric Bledsoe,(PG) Norris Cole"
50,30003980,"Scuba3321",4,220.75,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Wilson Chandler,(PF) Kenneth Faried,(C) Chris Bosh,(SF) Mike Dunleavy,(SG) Lance Stephenson,(PG) Rajon Rondo"
51,29937650,"LuckyPapa",4,216.00,"(PG) Mario Chalmers,(SG) Lance Stephenson,(SF) Mike Dunleavy,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Kevin Love,(PG) Rajon Rondo,(PG) Brandon Jennings"
52,30063008,"Rammers",0,207.00,"(PG) Rajon Rondo,(SG) Eric Bledsoe,(SF) Luc Richard Mbah a Moute,(PF) Jared Sullinger,(C) Kelly Olynyk,(PF) Greg Monroe,(PG) Kyrie Irving,(PF) Nerlens Noel"
53,30000784,"rallenua",4,205.00,"(PG) Damian Lillard,(SG) Joe Johnson,(SF) Jeff Green,(PF) Greg Monroe,(C) Tyson Chandler,(PF) Nerlens Noel,(SG) Gerald Green,(SG) Jimmy Butler"
54,29935054,"pianoclub",0,203.75,"(PG) Tony Wroten,(SG) Tyreke Evans,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Andre Drummond,(PF) Tim Duncan,(SG) Victor Oladipo,(PG) Mario Chalmers"
55,29973500,"marcin20w040",4,199.50,"(PG) Rajon Rondo,(SG) Jimmy Butler,(SF) Trevor Ariza,(PF) Dirk Nowitzki,(C) Kelly Olynyk,(SF) Evan Turner,(SG) Kentavious Caldwell-Pope,(SG) Lance Stephenson"
56,29940764,"ajcarter173",0,199.25,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Kelly Olynyk,(PF) Kevin Love,(SG) Danny Green,(PF) Channing Frye"
57,30057582,"MasterSplinter55",0,196.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Zach Randolph,(C) Brook Lopez,(SF) Wilson Chandler,(SG) Gerald Green,(SG) Tyreke Evans"
58,29935057,"pianoclub",0,196.00,"(PG) Tony Wroten,(SG) Tyreke Evans,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Chris Bosh,(PF) Kenneth Faried,(SG) Lance Stephenson,(PG) Mario Chalmers"
59,29952979,"dollyknockers",4,193.50,"(PG) Ty Lawson,(SG) J.J. Redick,(SF) Kawhi Leonard,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Tim Duncan,(SG) Courtney Lee,(SF) Luol Deng"
60,30061506,"dkirk21",0,165.75,"(PG) Deron Williams,(SG) Courtney Lee,(SF) Josh Smith,(PF) Dirk Nowitzki,(C) Kelly Olynyk,(SF) Shawne Williams,(SG) Tyreke Evans,(SG) Manu Ginobili"
