"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,30013615,"moony1699",0,280.75,"(PG) Rajon Rondo,(SG) Jamal Crawford,(SF) Wilson Chandler,(PF) Marcus Morris,(C) Kelly Olynyk,(PF) Taj Gibson,(PG) Mario Chalmers,(PF) Anthony Davis"
2,29942864,"CONDIA",0,279.25,"(PG) Mario Chalmers,(SG) Gerald Henderson,(SF) Shawne Williams,(PF) Kevin Love,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Damian Lillard,(PF) Taj Gibson"
3,30025436,"Jgo99",0,277.50,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Nerlens Noel,(C) Chris Bosh,(PF) Markieff Morris,(PG) Mario Chalmers,(SG) Eric Bledsoe"
4,30023242,"EmpireMaker2",0,269.00,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Marcus Morris,(C) Chris Bosh,(SF) Jeff Green,(PG) Mario Chalmers,(PG) Ty Lawson"
5,29951206,"Makisupa",0,257.00,"(PG) Mario Chalmers,(SG) Tyreke Evans,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Nikola Vucevic,(SF) Kawhi Leonard,(PG) Rajon Rondo,(SG) Eric Bledsoe"
6,29965978,"fairplayinc",0,254.75,"(PG) Brandon Jennings,(SG) Courtney Lee,(SF) Shawne Williams,(PF) Ryan Anderson,(C) Nikola Vucevic,(SF) Tobias Harris,(PG) Isaiah Thomas,(SG) Jimmy Butler"
7,29944187,"camcambambam",0,254.50,"(PG) Patrick Beverley,(SG) Victor Oladipo,(SF) Kawhi Leonard,(PF) Anthony Davis,(C) Alex Len,(PF) Nerlens Noel,(PG) Rajon Rondo,(SG) Eric Bledsoe"
8,29969768,"hoop2410",0,254.00,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Jeff Green,(PF) Nerlens Noel,(C) Nikola Vucevic,(SF) Shawne Williams,(PG) Mario Chalmers,(C) Chris Bosh"
9,29947164,"Stinger88",0,251.50,"(PG) Mario Chalmers,(SG) Tyreke Evans,(SF) Danny Granger,(PF) Nerlens Noel,(C) Nikola Vucevic,(PF) Anthony Davis,(SG) Jimmy Butler,(SG) Manu Ginobili"
10,29948327,"Kaetorade",0,247.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Shawne Williams,(PF) Anthony Davis,(C) Chris Bosh,(PF) Channing Frye,(SG) Gerald Green,(SG) Danny Green"
11,29993156,"cheddabisque",0,246.00,"(PG) Mario Chalmers,(SG) Eric Bledsoe,(SF) Donatas Motiejunas,(PF) Nerlens Noel,(C) Chris Bosh,(PF) Anthony Davis,(SG) Gerald Henderson,(C) Dwight Howard"
12,29956535,"poohdini",0,242.75,"(PG) Rajon Rondo,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Anthony Davis,(C) Kelly Olynyk,(PF) Nerlens Noel,(PG) Mario Chalmers,(PF) Taj Gibson"
13,30022006,"CSURAM88",0,238.25,"(PG) Kyrie Irving,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Anderson Varejao,(PF) Anthony Davis,(PG) Mario Chalmers,(SG) Tyreke Evans"
14,30010718,"thalooch",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
14,30017347,"BirdWings",0,236.00,"(PG) Mario Chalmers,(SG) Victor Oladipo,(SF) Shawne Williams,(PF) Nerlens Noel,(C) Miles Plumlee,(PF) Anthony Davis,(PG) Rajon Rondo,(SG) Tyreke Evans"
