"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26155793,"shethjo (1/25)",0,325.50,"(F) Pau Gasol ,(PF) Jordan Hill ,(C) Robin Lopez ,(G) O.J. Mayo ,(SG) James Harden ,(UTIL) Jimmy Butler ,(PG) Reggie Jackson ,(SF) Tobias Harris "
2,26167512,"SteveAvery (14/25)",0,321.00,"(SG) Kobe Bryant ,(SF) Luol Deng ,(C) Dwight Howard ,(UTIL) Jordan Hill ,(PG) Isaiah Thomas ,(G) Damian Lillard ,(F) Markieff Morris ,(PF) Marcus Morris "
3,26153486,"scrapdoggie (1/25)",0,318.75,"(SG) Kobe Bryant ,(F) Pau Gasol ,(PF) Chris Copeland ,(SF) Shawne Williams ,(UTIL) Serge Ibaka ,(C) Nikola Vucevic ,(PG) Isaiah Thomas ,(G) Reggie Jackson "
4,26161684,"SoonerCT22 (3/25)",0,315.75,"(SG) Kobe Bryant ,(UTIL) Chris Bosh ,(SF) Shawne Williams ,(F) Patrick Patterson ,(PF) Serge Ibaka ,(C) Nikola Vucevic ,(G) Jimmy Butler ,(PG) Reggie Jackson "
5,26158779,"ldoublee80 (2/25)",0,314.50,"(G) Kobe Bryant ,(UTIL) Pau Gasol ,(SG) Gary Neal ,(SF) Shawne Williams ,(C) Roy Hibbert ,(PF) Kevin Love ,(PG) Reggie Jackson ,(F) Markieff Morris "
5,26164451,"sledge4 (1/25)",0,314.50,"(UTIL) Kobe Bryant ,(PF) Pau Gasol ,(SF) Trevor Ariza ,(C) Roy Hibbert ,(F) Jordan Hill ,(G) O.J. Mayo ,(PG) Goran Dragic ,(SG) Jimmy Butler "
7,26161366,"Alpocalypse (1/25)",0,313.25,"(SG) Kobe Bryant ,(F) Paul Pierce ,(SF) Trevor Ariza ,(C) Roy Hibbert ,(PF) Kevin Love ,(G) Jimmy Butler ,(PG) Reggie Jackson ,(UTIL) Marcus Morris "
8,26158760,"DraftCheat (5/25)",0,308.25,"(G) Kobe Bryant ,(SF) Paul Pierce ,(C) Roy Hibbert ,(PF) Jordan Hill ,(SG) Jimmy Butler ,(PG) Reggie Jackson ,(F) Markieff Morris ,(UTIL) Eric Bledsoe "
8,26159136,"youngpro (1/25)",0,308.25,"(SG) Kobe Bryant ,(PF) Pau Gasol ,(C) Roy Hibbert ,(F) Taj Gibson ,(UTIL) Patrick Patterson ,(G) Reggie Jackson ,(SF) Tobias Harris ,(PG) Brandon Knight "
10,26167938,"ricardobflo (1/25)",0,307.50,"(SG) Kobe Bryant ,(PF) Pau Gasol ,(UTIL) Gary Neal ,(SF) Trevor Ariza ,(F) Jordan Hill ,(C) Omer Asik ,(G) Reggie Jackson ,(PG) Kyrie Irving "
11,26164546,"rlwilliams85 (1/25)",0,305.50,"(SG) Kobe Bryant ,(PF) Pau Gasol ,(SF) Trevor Ariza ,(UTIL) Shawne Williams ,(C) Nikola Vucevic ,(G) Jimmy Butler ,(F) Ed Davis ,(PG) Brandon Knight "
12,26167069,"Kenny-Stills (3/25)",0,305.25,"(UTIL) Trevor Ariza ,(C) Al Jefferson ,(SF) Shawne Williams ,(PF) Taj Gibson ,(G) James Harden ,(SG) Jimmy Butler ,(PG) Reggie Jackson ,(F) Markieff Morris "
13,26153114,"Fushbaseball13 (1/25)",0,304.00,"(UTIL) Amar'e Stoudemire ,(F) Chris Copeland ,(C) Roy Hibbert ,(G) Isaiah Thomas ,(SG) Jimmy Butler ,(PG) Reggie Jackson ,(SF) Tobias Harris ,(PF) Anthony Davis "
14,26144980,"bucsKG (1/25)",0,303.50,"(SG) Kobe Bryant ,(PF) Pau Gasol ,(UTIL) Nene Hilario ,(SF) Trevor Ariza ,(C) Roy Hibbert ,(F) Taj Gibson ,(G) Jimmy Butler ,(PG) Reggie Jackson "
15,26164389,"dotorfeather (1/25)",0,301.25,"(SG) Dwyane Wade ,(PF) Carlos Boozer ,(SF) Trevor Ariza ,(UTIL) Roy Hibbert ,(C) Nikola Vucevic ,(PG) Isaiah Thomas ,(G) Jimmy Butler ,(F) Markieff Morris "
16,26153366,"pianoclub (8/25)",0,300.50,"(C) Al Jefferson ,(SF) Shawne Williams ,(F) Jordan Hill ,(PF) Taj Gibson ,(UTIL) Kevin Love ,(SG) Jimmy Butler ,(PG) Reggie Jackson ,(G) Damian Lillard "
17,26163902,"crowls03 (1/25)",0,299.25,"(SG) Kobe Bryant ,(SF) Trevor Ariza ,(PF) Jordan Hill ,(F) Taj Gibson ,(C) Larry Sanders ,(UTIL) Omer Asik ,(G) Reggie Jackson ,(PG) Brandon Knight "
