"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26202849,"Farmnasty21",0,293.00,"(PG) Kyrie Irving,(SG) Jamal Crawford,(SF) LeBron James,(PF) Markieff Morris,(C) Marc Gasol,(SF) Draymond Green,(SG) Courtney Lee,(PF) Trevor Booker"
2,26447528,"Kwatz",0,291.25,"(PG) Chris Paul,(SG) Jamal Crawford,(SF) Draymond Green,(PF) Derrick Favors,(C) Andrew Bogut,(PF) Markieff Morris,(SG) Courtney Lee,(PG) Darren Collison"
3,26255172,"smackfreek",0,290.25,"(PG) Stephen Curry,(SG) Courtney Lee,(SF) Wilson Chandler,(PF) Markieff Morris,(C) Andrew Bogut,(SF) Draymond Green,(PG) Chris Paul,(SG) Jamal Crawford"
4,26450533,"urseeingstars",0,278.75,"(PG) Darren Collison,(SG) Jamal Crawford,(SF) Draymond Green,(PF) Markieff Morris,(C) DeAndre Jordan,(PF) Kevin Love,(SG) Courtney Lee,(PG) Ty Lawson"
5,26373203,"ingrambk",0,278.50,"(PG) Chris Paul,(SG) Klay Thompson,(SF) Draymond Green,(PF) Markieff Morris,(C) Anderson Varejao,(SF) Wilson Chandler,(PG) Stephen Curry,(SG) Courtney Lee"
6,26446501,"cardo",0,278.25,"(PG) Chris Paul,(SG) Jamal Crawford,(SF) Draymond Green,(PF) Markieff Morris,(C) DeMarcus Cousins,(PF) Marcus Morris,(PG) Darren Collison,(SG) Courtney Lee"
6,26450684,"TravisTanner",0,278.25,"(PG) Chris Paul,(SG) Alec Burks,(SF) Draymond Green,(PF) Zach Randolph,(C) DeMarcus Cousins,(SF) Shawn Marion,(SG) Courtney Lee,(PG) Mike Conley"
8,26400672,"hofqb13",0,276.25,"(PG) Isaiah Thomas,(SG) Klay Thompson,(SF) Draymond Green,(PF) Markieff Morris,(C) Andrew Bogut,(SF) Harrison Barnes,(PG) Stephen Curry,(PG) Mike Conley"
8,26400826,"hofqb13",0,276.25,"(PG) Isaiah Thomas,(SG) Klay Thompson,(SF) Draymond Green,(PF) Markieff Morris,(C) Andrew Bogut,(SF) Harrison Barnes,(PG) Stephen Curry,(PG) Mike Conley"
10,26444780,"Untouchable077",0,275.50,"(PG) Trey Burke,(SG) Eric Bledsoe,(SF) Gordon Hayward,(PF) Markieff Morris,(C) DeMarcus Cousins,(SF) Wilson Chandler,(PG) Mike Conley,(SG) Courtney Lee"
11,26448781,"gogomizzou",0,274.00,"(PG) Kyrie Irving,(SG) Tony Allen,(SF) LeBron James,(PF) Trevor Booker,(C) Anderson Varejao,(SF) Draymond Green,(PG) Mike Conley,(C) Marc Gasol"
12,26449049,"DT1132",0,273.50,"(PG) Stephen Curry,(SG) Courtney Lee,(SF) Draymond Green,(PF) Jason Thompson,(C) Marc Gasol,(PF) Carl Landry,(PG) Darren Collison,(C) DeMarcus Cousins"
13,26441183,"steamedclams",0,271.50,"(PG) Mike Conley,(SG) Courtney Lee,(SF) Gordon Hayward,(PF) Trevor Booker,(C) Marc Gasol,(SF) Rudy Gay,(PG) Kyrie Irving,(PG) Goran Dragic"
14,26450358,"Frick302",0,270.50,"(PG) Mike Conley,(SG) Klay Thompson,(SF) Rudy Gay,(PF) Markieff Morris,(C) Andrew Bogut,(SF) Draymond Green,(PG) Ty Lawson,(SG) Tony Allen"
