"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26426299,"sotnohc",0,317.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Zach Randolph,(PG) Tony Wroten,(PF) Tim Duncan"
2,26427635,"PhiDelt1789",0,315.75,"(PG) Chris Paul,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Taj Gibson,(PG) Elfrid Payton,(PG) John Wall"
3,26322684,"aejones",0,309.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Pau Gasol,(PG) Tony Parker,(PF) Tim Duncan"
4,26410770,"bigone19",0,300.75,"(PG) Elfrid Payton,(SG) Avery Bradley,(SF) Tobias Harris,(PF) Pau Gasol,(C) Al Jefferson,(PF) Taj Gibson,(PG) Chris Paul,(SG) Jimmy Butler"
5,26429072,"psufans2",0,300.25,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Tony Wroten,(PG) Stephen Curry"
6,26365834,"shawnzhan",0,298.25,"(PG) Tony Wroten,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Patrick Patterson,(C) DeMarcus Cousins,(SF) Carmelo Anthony,(SG) Kevin Martin,(PG) Deron Williams"
7,26326588,"youdacao",0,295.00,"(PG) Elfrid Payton,(SG) Kentavious Caldwell-Pope,(SF) Tobias Harris,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Taj Gibson,(PG) Chris Paul,(PF) Pau Gasol"
8,26354272,"jbreeze12",0,293.75,"(PG) Stephen Curry,(SG) Jamal Crawford,(SF) Draymond Green,(PF) Taj Gibson,(C) DeMarcus Cousins,(SF) Shawne Williams,(SG) Klay Thompson,(PF) Patrick Patterson"
9,26428641,"jtsnow6",0,293.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Rajon Rondo,(PG) Chris Paul"
10,26358473,"mookiewilson",0,289.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Pau Gasol,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Stephen Curry,(PF) Taj Gibson"
11,26332837,"MaverickUSC",0,284.25,"(PG) Deron Williams,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Pau Gasol,(PG) Trey Burke,(PF) Taj Gibson"
12,26434312,"brettallanbeck",0,278.75,"(PG) Brandon Knight,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Kevin Love,(SG) Iman Shumpert,(C) Marc Gasol"
13,26423228,"mebossyounot",0,277.50,"(PG) Stephen Curry,(SG) Klay Thompson,(SF) Tobias Harris,(PF) Greg Monroe,(C) Kelly Olynyk,(PF) Nene Hilario,(SG) Jimmy Butler,(SG) Gerald Green"
14,26400745,"jpecanac",0,276.25,"(PG) Chris Paul,(SG) Gary Neal,(SF) Tobias Harris,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Elfrid Payton,(PG) John Wall"
15,26417896,"coleva",0,276.00,"(PG) Rajon Rondo,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Patrick Patterson,(PG) Elfrid Payton,(PF) Blake Griffin"
16,26411565,"ThaDongslayer",0,275.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Pau Gasol,(SG) Gary Neal,(PF) Kevin Love"
17,26365987,"AJinOK",0,274.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Blake Griffin,(PG) Tony Wroten,(PF) Jared Sullinger"
18,26425515,"shocae",0,273.25,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Jared Sullinger,(C) DeMarcus Cousins,(SF) Tobias Harris,(PG) Darren Collison,(C) Nikola Vucevic"
19,26397880,"Jesse2Jacked",0,271.50,"(PG) Elfrid Payton,(SG) Klay Thompson,(SF) LeBron James,(PF) Patrick Patterson,(C) Andrew Bogut,(SF) Tobias Harris,(SG) Jimmy Butler,(C) Marc Gasol"
20,26402916,"train12and35",0,270.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Zach Randolph,(SG) Klay Thompson,(SF) Rudy Gay"
21,26390535,"UNCLE-LEO",0,269.75,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Patrick Patterson,(C) Nikola Vucevic,(PF) Taj Gibson,(PG) Chris Paul,(SG) Klay Thompson"
22,26354493,"DannyMak",0,268.50,"(PG) Tony Parker,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Patrick Patterson,(C) Nikola Vucevic,(SF) Shawne Williams,(PG) Brandon Knight,(C) DeMarcus Cousins"
23,26413479,"heynad",0,266.50,"(PG) Rajon Rondo,(SG) Klay Thompson,(SF) Tobias Harris,(PF) Nene Hilario,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Elfrid Payton,(PG) Donald Sloan"
