"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
20,26697694,"ValidatedBoss (1/20)",0,218.00,"(PF) Boris Diaw ,(C) Dwight Howard ,(UTIL) LaMarcus Aldridge ,(G) Danny Green ,(SG) James Harden ,(PG) Isaiah Canaan ,(F) Kawhi Leonard ,(SF) Kostas Papanikolaou "
25,26693861,"ElectricAve (1/20)",0,217.75,"(UTIL) Dirk Nowitzki ,(PF) Boris Diaw ,(C) Dwight Howard ,(G) Monta Ellis ,(F) Jeff Ayres ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
26,26697952,"Gja10 (1/20)",0,217.00,"(PG) Devin Harris ,(PF) Boris Diaw ,(C) Dwight Howard ,(G) Danny Green ,(SG) James Harden ,(F) Chandler Parsons ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard "
27,26683057,"kholdstare83 (6/20)",0,215.75,"(PF) Dirk Nowitzki ,(PG) Devin Harris ,(F) Boris Diaw ,(C) Dwight Howard ,(SG) Monta Ellis ,(UTIL) Danny Green ,(G) Damian Lillard ,(SF) Kawhi Leonard "
27,26683091,"kholdstare83 (9/20)",0,215.75,"(PF) Dirk Nowitzki ,(PG) Devin Harris ,(F) Boris Diaw ,(C) Dwight Howard ,(SG) Monta Ellis ,(UTIL) Danny Green ,(G) Damian Lillard ,(SF) Kawhi Leonard "
29,26683150,"Assani (1/20)",0,214.50,"(PG) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(UTIL) Monta Ellis ,(SG) Danny Green ,(F) Nicolas Batum ,(G) Isaiah Canaan ,(SF) Kawhi Leonard "
29,26691358,"TeeJayOrTj (1/20)",0,214.50,"(PG) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(UTIL) Monta Ellis ,(SG) Danny Green ,(F) Nicolas Batum ,(G) Isaiah Canaan ,(SF) Kawhi Leonard "
29,26696587,"bonziwells (2/20)",0,214.50,"(UTIL) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(G) Monta Ellis ,(SG) Danny Green ,(F) Nicolas Batum ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
32,26675508,"pianoclub (1/20)",0,213.50,"(G) Devin Harris ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
32,26675595,"pianoclub (5/20)",0,213.50,"(G) Devin Harris ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
32,26675616,"pianoclub (6/20)",0,213.50,"(G) Devin Harris ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
35,26687616,"ISmellTheMoney (1/20)",0,212.25,"(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Wesley Matthews ,(UTIL) Robin Lopez ,(PG) Patrick Beverley ,(SF) Nicolas Batum ,(G) Damian Lillard ,(F) Kawhi Leonard "
35,26690531,"mister42 (1/20)",0,212.25,"(C) Tyson Chandler ,(PF) Boris Diaw ,(UTIL) Robin Lopez ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
35,26690682,"mister42 (2/20)",0,212.25,"(C) Tyson Chandler ,(PF) Boris Diaw ,(UTIL) Robin Lopez ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
35,26690709,"mister42 (3/20)",0,212.25,"(C) Tyson Chandler ,(PF) Boris Diaw ,(UTIL) Robin Lopez ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
35,26690730,"mister42 (4/20)",0,212.25,"(C) Tyson Chandler ,(PF) Boris Diaw ,(UTIL) Robin Lopez ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
40,26680501,"shawnzhan (1/20)",0,211.25,"(PG) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(UTIL) Chandler Parsons ,(F) Nicolas Batum ,(G) Isaiah Canaan ,(SF) Kawhi Leonard "
41,26695390,"stewy1385 (2/20)",0,210.50,"(PF) Dirk Nowitzki ,(C) Dwight Howard ,(G) Wesley Matthews ,(SG) Danny Green ,(UTIL) Robin Lopez ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
42,26697687,"ogallalabob (1/20)",0,210.25,"(PF) Matt Bonner ,(C) Dwight Howard ,(G) Wesley Matthews ,(UTIL) Danny Green ,(SG) James Harden ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(F) Donatas Motiejunas "
43,26695365,"stewy1385 (1/20)",0,209.75,"(PG) Devin Harris ,(PF) Boris Diaw ,(C) Dwight Howard ,(UTIL) Monta Ellis ,(G) Danny Green ,(SG) James Harden ,(F) Kawhi Leonard ,(SF) Kostas Papanikolaou "
44,26667185,"AJinOK (1/20)",0,209.50,"(G) Tony Parker ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard "
44,26692882,"BRich11 (1/20)",0,209.50,"(G) Devin Harris ,(PF) Boris Diaw ,(F) Trevor Ariza ,(C) Dwight Howard ,(SG) Danny Green ,(UTIL) Chandler Parsons ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
46,26670315,"Seahawk97 (1/20)",0,209.00,"(PG) Tony Parker ,(C) Chris Kaman ,(UTIL) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) James Harden ,(SF) Kawhi Leonard ,(PF) Thomas Robinson ,(G) Cory Joseph "
47,26690745,"mister42 (5/20)",0,208.00,"(C) Tyson Chandler ,(UTIL) Devin Harris ,(PF) Boris Diaw ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
47,26690773,"mister42 (6/20)",0,208.00,"(C) Tyson Chandler ,(UTIL) Devin Harris ,(PF) Boris Diaw ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
47,26690790,"mister42 (7/20)",0,208.00,"(C) Tyson Chandler ,(UTIL) Devin Harris ,(PF) Boris Diaw ,(SG) James Harden ,(SF) Nicolas Batum ,(PG) Damian Lillard ,(G) Isaiah Canaan ,(F) Kawhi Leonard "
50,26689543,"MileHighFever (1/20)",0,205.50,"(G) Jameer Nelson ,(UTIL) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(PG) Damian Lillard ,(F) Kawhi Leonard ,(SF) Kostas Papanikolaou "
50,26695892,"crappydonuts (3/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26695908,"crappydonuts (6/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26695934,"crappydonuts (9/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26697468,"crappydonuts (10/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26697479,"crappydonuts (11/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26697503,"crappydonuts (12/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
50,26697516,"crappydonuts (13/20)",0,205.50,"(F) Dirk Nowitzki ,(G) Jameer Nelson ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard ,(UTIL) Donatas Motiejunas "
58,26696663,"msrust0 (1/20)",0,205.00,"(UTIL) Chris Kaman ,(PG) Devin Harris ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(G) Danny Green ,(F) Brandan Wright ,(SG) James Harden ,(SF) Kostas Papanikolaou "
59,26668703,"SideSlice (1/20)",0,203.50,"(PG) Tony Parker ,(UTIL) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Danny Green ,(G) Damian Lillard ,(SF) Kawhi Leonard "
59,26670985,"austin529 (1/20)",0,203.50,"(G) Tony Parker ,(UTIL) Jameer Nelson ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
59,26685131,"maguirem (1/20)",0,203.50,"(G) Tony Parker ,(UTIL) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
