"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26445322,"acwang123",0,275.75,"(PG) Darren Collison,(SG) Jamal Crawford,(SF) Rudy Gay,(PF) Markieff Morris,(C) Marc Gasol,(PF) Zach Randolph,(SG) Courtney Lee,(SF) Draymond Green"
2,26414539,"magmanpayton",0,264.25,"(PG) Ty Lawson,(SG) Courtney Lee,(SF) Harrison Barnes,(PF) Derrick Favors,(C) Andrew Bogut,(PF) Kevin Love,(SG) Jamal Crawford,(SF) Rudy Gay"
3,26441835,"miamicanes",0,247.00,"(PG) Mike Conley,(SG) Gerald Green,(SF) Wilson Chandler,(PF) Trevor Booker,(C) Andrew Bogut,(PF) Derrick Favors,(SG) Klay Thompson,(C) DeMarcus Cousins"
4,26444965,"pianoclub",0,237.75,"(PG) Isaiah Thomas,(SG) Courtney Lee,(SF) Rudy Gay,(PF) Kevin Love,(C) Andrew Bogut,(PF) Marcus Morris,(SG) Alec Burks,(C) DeMarcus Cousins"
5,26404100,"txrizzyray",0,236.25,"(PG) Chris Paul,(SG) Klay Thompson,(SF) Rudy Gay,(PF) Trevor Booker,(C) Andrew Bogut,(SF) Wilson Chandler,(SG) Alec Burks,(PF) Markieff Morris"
6,26426183,"tyaustin111",0,236.00,"(PG) Darren Collison,(SG) Klay Thompson,(SF) Draymond Green,(PF) Zach Randolph,(C) Andrew Bogut,(PF) Markieff Morris,(PG) Isaiah Thomas,(SG) Jamal Crawford"
7,26244792,"Vapekangs",0,234.00,"(PG) Mike Conley,(SG) Alec Burks,(SF) Harrison Barnes,(PF) Kevin Love,(C) DeMarcus Cousins,(PF) Marcus Morris,(SG) Klay Thompson,(C) Enes Kanter"
8,26444178,"spartan112119",0,229.75,"(PG) Isaiah Thomas,(SG) Klay Thompson,(SF) Rudy Gay,(PF) Trevor Booker,(C) Marc Gasol,(SF) Gordon Hayward,(SG) Alec Burks,(C) Anderson Varejao"
9,26444063,"fantasyfreak78",0,228.50,"(PG) Goran Dragic,(SG) Courtney Lee,(SF) Rudy Gay,(PF) Kevin Love,(C) DeMarcus Cousins,(SF) Wilson Chandler,(PG) Trey Burke,(C) Anderson Varejao"
10,26429346,"realyellowmamba",0,226.50,"(PG) Kyrie Irving,(SG) Klay Thompson,(SF) Gordon Hayward,(PF) Zach Randolph,(C) DeMarcus Cousins,(SF) Omri Casspi,(PG) Leandro Barbosa,(SG) Gerald Green"
11,26444218,"Goodno64",0,225.00,"(PG) Chris Paul,(SG) Jamal Crawford,(SF) LeBron James,(PF) Marcus Morris,(C) Anderson Varejao,(PF) Trevor Booker,(SG) J.J. Redick,(SF) Rudy Gay"
12,26419731,"eebob2072",0,224.50,"(PG) Isaiah Thomas,(SG) Jamal Crawford,(SF) Gordon Hayward,(PF) Markieff Morris,(C) Andrew Bogut,(PF) Trevor Booker,(PG) Darren Collison,(SG) Klay Thompson"
13,26189034,"CONDIA",0,221.75,"(PG) Trey Burke,(SG) Alec Burks,(SF) Gordon Hayward,(PF) Trevor Booker,(C) DeMarcus Cousins,(SF) Shawn Marion,(PG) Darren Collison,(SF) Rudy Gay"
14,26418900,"Pointgiven",0,220.75,"(PG) Trey Burke,(SG) Tony Allen,(SF) Wilson Chandler,(PF) Derrick Favors,(C) Andrew Bogut,(SF) Rudy Gay,(SG) Klay Thompson,(PG) Ty Lawson"
15,26405825,"Scuba3321",0,219.50,"(PG) Isaiah Thomas,(SG) Alec Burks,(SF) LeBron James,(PF) Blake Griffin,(C) Enes Kanter,(PF) Marcus Morris,(SG) Jamal Crawford,(SF) Draymond Green"
16,26382702,"rwalkersc",0,217.50,"(PG) Darren Collison,(SG) Klay Thompson,(SF) Gordon Hayward,(PF) Markieff Morris,(C) Marc Gasol,(PF) Marcus Morris,(SG) Tony Allen,(SG) Jamal Crawford"
17,26425724,"Nitetrain",0,216.75,"(PG) Darren Collison,(SG) Courtney Lee,(SF) Rudy Gay,(PF) David Lee,(C) Marc Gasol,(PF) Kevin Love,(SG) Gerald Green,(C) Anderson Varejao"
18,26434137,"giorgio92",0,216.25,"(PG) Ty Lawson,(SG) Jamal Crawford,(SF) Rudy Gay,(PF) Zach Randolph,(C) Anderson Varejao,(PF) Blake Griffin,(SG) Tony Allen,(SG) Courtney Lee"
19,26436001,"BetOnBeck",0,215.75,"(PG) Stephen Curry,(SG) Tony Allen,(SF) LeBron James,(PF) Marcus Morris,(C) Enes Kanter,(SF) Harrison Barnes,(PG) Chris Paul,(C) Alex Len"
20,26436684,"N_diedrich33",0,215.50,"(PG) Mike Conley,(SG) Dion Waiters,(SF) Rudy Gay,(PF) Kevin Love,(C) Andrew Bogut,(PF) Tristan Thompson,(PG) Darren Collison,(C) Anderson Varejao"
21,26409609,"zblack",0,212.25,"(PG) Trey Burke,(SG) Klay Thompson,(SF) Rudy Gay,(PF) Markieff Morris,(C) Alex Len,(PF) Zach Randolph,(SG) Courtney Lee,(PF) Kevin Love"
22,26327982,"bigstevepsu",0,211.00,"(PG) Ty Lawson,(SG) Ben McLemore,(SF) Rudy Gay,(PF) Kevin Love,(C) DeMarcus Cousins,(PF) Jason Thompson,(PG) Trey Burke,(SF) Danilo Gallinari"
23,26264052,"andy1h2004",0,208.00,"(PG) Isaiah Thomas,(SG) Courtney Lee,(SF) Reggie Bullock,(PF) Zach Randolph,(C) Marc Gasol,(PF) Kevin Love,(PG) Stephen Curry,(PF) Marcus Morris"
24,26374708,"NoFkUOC",0,200.75,"(PG) Kyrie Irving,(SG) Jamal Crawford,(SF) Rudy Gay,(PF) Blake Griffin,(C) Anderson Varejao,(PF) Trevor Booker,(SG) Klay Thompson,(SG) Vince Carter"
25,26295425,"jbelles4",0,188.75,"(PG) Isaiah Thomas,(SG) Klay Thompson,(SF) Wilson Chandler,(PF) Kevin Love,(C) Marc Gasol,(PF) Trevor Booker,(PG) Darren Collison,(SF) Andre Iguodala"
26,26223436,"TGGleiter",0,184.75,"(PG) Darren Collison,(SG) Klay Thompson,(SF) Gordon Hayward,(PF) Tristan Thompson,(C) Enes Kanter,(PF) Kevin Love,(PG) Isaiah Thomas,(PF) Marcus Morris"
27,26445409,"jagress23",0,182.00,"(PG) Trey Burke,(SG) Klay Thompson,(SF) Rudy Gay,(PF) David Lee,(C) DeMarcus Cousins,(PF) Jason Thompson,(PG) Isaiah Thomas,(PF) Trevor Booker"
28,26364892,"generalee2013",0,179.75,"(PG) Darren Collison,(SG) Klay Thompson,(SF) Wilson Chandler,(PF) Kevin Love,(C) Alex Len,(PF) Zach Randolph,(SG) Jamal Crawford,(PG) Isaiah Thomas"
29,26415006,"NeverWorking",0,178.75,"(PG) Darren Collison,(SG) Tony Allen,(SF) Harrison Barnes,(PF) Zach Randolph,(C) Alex Len,(PF) Blake Griffin,(SG) Jamal Crawford,(C) Marc Gasol"
30,26251213,"mnaylor85",0,175.00,"(PG) Isaiah Thomas,(SG) Arron Afflalo,(SF) Reggie Bullock,(PF) Kevin Love,(C) DeMarcus Cousins,(PF) Kenneth Faried,(PG) Dante Exum,(PF) Markieff Morris"
