"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,26410772,"bigone19",0,300.75,"(PG) Elfrid Payton,(SG) Avery Bradley,(SF) Tobias Harris,(PF) Pau Gasol,(C) Al Jefferson,(PF) Taj Gibson,(PG) Chris Paul,(SG) Jimmy Butler"
2,26429082,"psufans2",0,300.25,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Tony Wroten,(PG) Stephen Curry"
3,26365841,"shawnzhan",0,298.25,"(PG) Tony Wroten,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Patrick Patterson,(C) DeMarcus Cousins,(SF) Carmelo Anthony,(SG) Kevin Martin,(PG) Deron Williams"
4,26428645,"jtsnow6",0,293.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(PG) Rajon Rondo,(PG) Chris Paul"
5,26412725,"ArtVandelay219",0,292.25,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) LeBron James,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Patrick Patterson,(SG) Kevin Martin,(SF) Rudy Gay"
6,26440477,"realmps33",0,290.75,"(PG) Ty Lawson,(SG) Jimmy Butler,(SF) Josh Smith,(PF) Greg Monroe,(C) Al Jefferson,(SF) Draymond Green,(PG) Isaiah Thomas,(SG) Gerald Henderson"
7,26438475,"jpecanac",0,289.75,"(PG) Stephen Curry,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Patrick Patterson,(SG) Gary Neal,(PF) Jared Sullinger"
8,26442857,"acwang123",0,286.50,"(PG) Isaiah Thomas,(SG) Kevin Martin,(SF) Rudy Gay,(PF) Markieff Morris,(C) Nikola Vucevic,(PF) Chris Copeland,(SG) Jimmy Butler,(PG) Brandon Knight"
9,26442645,"pgsknwn",0,281.50,"(PG) Tony Wroten,(SG) Iman Shumpert,(SF) Tobias Harris,(PF) Zach Randolph,(C) Nikola Vucevic,(PF) Pau Gasol,(PG) Elfrid Payton,(SG) Jimmy Butler"
10,26442546,"R3234K",0,280.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Patrick Patterson,(PG) Deron Williams,(PF) Kevin Love"
11,26435158,"brettallanbeck",0,278.75,"(PG) Brandon Knight,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Patrick Patterson,(C) DeMarcus Cousins,(PF) Kevin Love,(SG) Iman Shumpert,(C) Marc Gasol"
12,26423221,"mebossyounot",0,277.50,"(PG) Stephen Curry,(SG) Klay Thompson,(SF) Tobias Harris,(PF) Greg Monroe,(C) Kelly Olynyk,(PF) Nene Hilario,(SG) Jimmy Butler,(SG) Gerald Green"
13,26411570,"ThaDongslayer",0,275.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Taj Gibson,(C) DeMarcus Cousins,(PF) Pau Gasol,(SG) Gary Neal,(PF) Kevin Love"
14,26424733,"mapaco",0,275.00,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Tobias Harris,(PF) Patrick Patterson,(C) DeMarcus Cousins,(SF) Shawne Williams,(PG) Chris Paul,(C) Nikola Vucevic"
15,26365381,"milk_stout",0,274.75,"(PG) Tony Wroten,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Zach Randolph,(C) Nikola Vucevic,(PF) Pau Gasol,(PG) Elfrid Payton,(SF) Jeff Green"
16,26365994,"AJinOK",0,274.50,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Taj Gibson,(C) Nikola Vucevic,(PF) Blake Griffin,(PG) Tony Wroten,(PF) Jared Sullinger"
17,26434850,"BlairMorgan07",0,274.25,"(PG) Elfrid Payton,(SG) Jimmy Butler,(SF) Shawne Williams,(PF) Kevin Love,(C) Marc Gasol,(PF) Patrick Patterson,(PG) Chris Paul,(PF) Pau Gasol"
