"collection1"
"player","team","fppg","max","min","range","stdev"
"Kendall Marshall","LAL","24.5","48.7","-1","49.7","11.9"
"Eric Gordon","NOP","24.3","47.6","3","44.6","10.2"
"Gerald Henderson","CHA","24.3","42.5","8.5","34","7.9"
"Trey Burke","UTA","24.3","50.4","9.1","41.3","8.7"
"Reggie Jackson","OKC","24.2","45.4","9.7","35.7","8"
"Derrick Rose","CHI","24","31.6","14.2","17.4","5.3"
"Joe Johnson","BRK","23.7","56.9","4","52.9","11"
"Gerald Green","PHX","23.5","55","1.2","53.8","9.9"
"Raymond Felton","NYK","23.2","41.6","3","38.6","7.7"
"Manu Ginobili","SAS","23.2","45.9","5.7","40.2","8.8"
"Jose Calderon","DAL","23","44.3","10.2","34.1","6.8"
"Kyle Korver","ATL","22.9","37.8","8.8","29","7.5"
"Dion Waiters","CLE","22.8","47.6","1.4","46.2","10.2"
"J.“J. Redick","LAC","22.7","47.1","8.6","38.5","8.5"
"Avery Bradley","BOS","22.5","41.5","3.2","38.3","8.5"
"Jodie Meeks","LAL","22.2","49.4","0","49.4","9"
"Alec Burks","UTA","22.1","51.1","1.5","49.6","8.7"
"George Hill","IND","22","64.8","3.5","61.3","9.5"
"Jeremy Lin","HOU","22","50","2.7","47.3","10.4"
"Tony Wroten","PHI","21.5","44.5","2.9","41.6","9.1"
"Mario Chalmers","MIA","21.5","35.9","7.5","28.4","7.7"
"Patrick Beverley","HOU","21.4","38.5","2.8","35.7","8.7"
"Randy Foye","DEN","21.1","50.1","-1.8","51.9","10.2"
"Steve Blake","LAL","20.4","44.5","1.7","42.8","10.3"
"Jordan Farmar","LAL","20.1","40.5","2.7","37.8","10.6"
"Darren Collison","LAC","20","39.5","2.9","36.6","8.4"
"Tony Allen","MEM","19.8","36.9","4.5","32.4","7.6"
"Rodney Stuckey","DET","19.5","43.8","-1","44.8","10.4"
"Ramon Sessions","CHA","19.4","36.8","3","33.8","6.5"
"Kirk Hinrich","CHI","19.3","37.7","4","33.7","7.2"
"Jordan Crawford","GSW","19.1","39.2","0","39.2","10.2"
"James Anderson","PHI","18.8","48","2","46","8.7"
"Mo Williams","POR","18.5","38.7","6.8","32","7.2"
"Shaun Livingston","BRK","18.3","44.2","0","44.2","9.8"
"Marco Belinelli","SAS","18.2","40.2","4.5","35.7","7.8"
"Jarrett Jack","CLE","18.1","41.3","0","41.3","7.9"
"Danny Green","SAS","17.8","39","-2","41","10.2"
"Xavier Henry","LAL","17.3","35.5","0.2","35.3","9.1"
"Greivis Vasquez","TOR","17.1","39.8","-1","40.8","9.3"
"Devin Harris","DAL","16.8","35.7","1","34.7","7.5"
"Iman Shumpert","NYK","16.8","40.3","0","40.3","8.8"
"Courtney Lee","MEM","16.7","37","-1","38","8"
"Steve Nash","LAL","16.6","29.3","4.5","24.8","9.6"
"Ray Allen","MIA","16.4","31.7","1.7","30","7.1"
"Martell Webster","WAS","16.4","45.3","3","42.3","9.7"
"Nate Robinson","DEN","16.2","40.5","0","40.5","9.2"
"Will Bynum","DET","16.2","31.8","1.7","30.1","8.4"
"Jerryd Bayless","BOS","16","34.4","1.2","33.2","8.2"
"Shelvin Mack","ATL","16","33.8","0","33.8","8.3"
"Nate Wolters","MIL","15.7","38.4","1.2","37.2","8.7"
"Thabo Sefolosha","OKC","15.5","34.2","2.7","31.5","7.1"
"Jeremy Lamb","OKC","15.4","38.5","-1","39.5","7.5"
"Marcus Thornton","SAC","14.9","48","3.5","44.5","8.5"
"Manny Harris","LAL","14.6","31.1","7.6","23.5","7.2"
"Norris Cole","MIA","14.4","30.9","0.5","30.4","6.2"
"Aaron Brooks","HOU","14.3","57","-1","58","11.6"
"Gary Neal","MIL","14.2","29.8","3.4","26.4","6.7"
"Andre Miller","DEN","13.5","34.8","0.2","34.6","7.2"
"Pablo Prigioni","NYK","13.4","28.2","0","28.2","6.5"
"Evan Fournier","DEN","12.7","43.6","-1","44.6","10.1"
"Quincy Pondexter","MEM","12.7","28.7","1.2","27.5","9.8"
"Ben McLemore","SAC","12.6","33.3","0","33.3","7.9"
"Leandro Barbosa","PHX","12.3","26.6","5","21.6","6.6"
"Austin Rivers","NOP","12.1","27.5","0","27.5","7.5"
"Nick Calathes","MEM","12.1","37.4","0.2","37.2","9.6"
"Luke Ridnour","MIL","12.1","33","-1","34","8.5"
"Mike Miller","MEM","11.8","31.8","0.2","31.6","7"
"Beno Udrih","NYK","11.3","41.8","-0.5","42.3","11"
"Kentavious Caldwell-Pope","DET","10.7","28.4","0","28.4","7.9"
"Derek Fisher","OKC","10.3","25.8","-2","27.8","6.2"
"Anthony Morrow","NOP","10.3","27.6","-1","28.6","6.9"
"Cory Joseph","SAS","9.7","33.3","0","33.3","8.5"
"Matthew Dellavedova","CLE","9.6","32.5","0","32.5","7.6"
"Tony Snell","CHI","9","26.7","-1","27.7","7.9"
"Jimmer Fredette","SAC","8.9","30","-2","32","6.7"
"Willie Green","LAC","8.9","26.9","0","26.9","6.3"
"Ben Gordon","CHA","8.7","22.7","-0.8","23.5","5.8"
"Phil Pressey","BOS","8.6","28.2","-1","29.2","6.9"
"Elliot Williams","PHI","8.6","21","-1","22","5.5"
"Diante Garrett","UTA","8.4","22.4","-2","24.4","6.5"
"Chauncey Billups","DET","8.4","28.1","0","28.1","6.8"
"Jason Terry","BRK","8.3","26.2","-1","27.2","6.2"
"Kent Bazemore","GSW","8.2","35.3","-1","36.3","10"
"Dennis Schroeder","ATL","8.1","18.9","-1","19.9","5.6"
"MarShon Brooks","GSW","8","28.9","-1","29.9","7.8"

