player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Tyson Chandler,DAL,C,0,N/A,10,30.05,42.5,17.5,22.52,37.58,0,0,0,0
Glen Davis,LAC,PF,0,N/A,3,3.75,7.75,0,0.58,6.92,0,0,0,0
Channing Frye,ORL,PF,0,N/A,11,20.77,33.5,0,10.18,31.36,0,0,0,0
JaVale McGee,DEN,C,3200.00,@ NYK,7,13.36,28.5,6,5.73,20.98,0.57,0.29,0.29,0.29
DeAndre Jordan,LAC,C,0,N/A,8,33.59,52.5,15.75,22.97,44.21,0,0,0,0
Greg Monroe,DET,PF,0,N/A,8,35.69,53,21.25,27.25,44.12,0,0,0,0
Roy Hibbert,IND,C,0,N/A,11,32.52,47.25,9.25,20.97,44.08,0,0,0,0
DeMarcus Cousins,SAC,C,0,N/A,10,43.33,68.25,32.25,32.87,53.78,0,0,0,0
Andrea Bargnani,NYK,C,4000.00,vs. DEN,1,0,0,0,0,0,0,0,0,0
Marc Gasol,MEM,C,0,N/A,10,37.43,54.25,27.25,30.1,44.75,0,0,0,0
Andrew Bogut,GSW,C,6400.00,@ LAL,9,29.58,47,17.75,20.5,38.67,0.89,0.67,0.33,0.22
Al Jefferson,CHA,C,0,N/A,10,35.85,55.25,25,26.08,45.62,0,0,0,0
Brook Lopez,BKN,C,0,N/A,7,28.32,38.75,22.25,22.84,33.81,0,0,0,0
Al Horford,ATL,C,0,N/A,9,30,48.5,15.5,19.48,40.52,0,0,0,0
David Lee,GSW,PF,5600.00,@ LAL,2,2.75,5.5,0,0,5.5,0,0,0,0
Dwight Howard,HOU,C,9100.00,@ OKC,9,39.19,58.5,0,22.72,55.66,0.89,0.67,0.44,0.22
Pau Gasol,CHI,PF,0,N/A,10,40.35,52.75,27,32.78,47.92,0,0,0,0
Blake Griffin,LAC,PF,0,N/A,8,38.56,52.25,15.75,27.45,49.67,0,0,0,0
Zach Randolph,MEM,PF,0,N/A,10,36,51.5,20,25.91,46.09,0,0,0,0
Nikola Vucevic,ORL,C,0,N/A,11,40.34,56.25,27.25,32.43,48.26,0,0,0,0
Donatas Motiejunas,HOU,SF,4000.00,@ OKC,9,15.25,32,3.25,5.82,24.68,0.56,0.44,0.33,0.22
Enes Kanter,UTA,C,0,N/A,11,21.05,30.75,4.5,12.9,29.2,0,0,0,0
Jonas Valanciunas,TOR,C,0,N/A,9,24.44,40,12,16.02,32.87,0,0,0,0
Derrick Williams,SAC,PF,0,N/A,5,5.2,13,1,0.9,9.5,0,0,0,0
Tristan Thompson,CLE,PF,0,N/A,8,19.94,40.75,8.5,9.58,30.29,0,0,0,0
Kawhi Leonard,SAS,SF,0,N/A,9,27.67,52.5,0,13.77,41.56,0,0,0,0
Bismack Biyombo,CHA,C,0,N/A,2,19.5,27.5,11.5,11.5,27.5,0,0,0,0
Kenneth Faried,DEN,PF,5800.00,@ NYK,8,25.56,49.25,12.75,14.43,36.7,0.88,0.38,0.38,0.13
Markieff Morris,PHO,PF,0,N/A,10,27.83,45.5,13.75,17.87,37.78,0,0,0,0
Klay Thompson,GSW,SG,7100.00,@ LAL,8,37.69,52.25,23,28.88,46.5,1,0.75,0.63,0.25
Marcus Morris,PHO,PF,0,N/A,10,19.95,29.75,7.75,12.36,27.54,0,0,0,0
Jon Leuer,MEM,PF,0,N/A,10,6.48,13,2.75,3.18,9.77,0,0,0,0
Chandler Parsons,DAL,SF,0,N/A,10,26,41.75,12.75,17.44,34.56,0,0,0,0
Kyle Singler,DET,SF,0,N/A,10,11.8,34.5,1.25,3.51,20.09,0,0,0,0
Jimmy Butler,CHI,SG,0,N/A,8,38.19,47,27,31.62,44.76,0,0,0,0
Lavoy Allen,IND,PF,0,N/A,11,21.41,40.75,9.25,12.96,29.86,0,0,0,0
Tobias Harris,ORL,SF,0,N/A,11,33.61,52.25,19.25,23.18,44.04,0,0,0,0
Kyrie Irving,CLE,PG,0,N/A,8,37.25,53.25,19.75,26.28,48.22,0,0,0,0
Kemba Walker,CHA,PG,0,N/A,10,31.1,51.75,18.25,20.21,41.99,0,0,0,0
Brandon Knight,MIL,PG,7100.00,@ MIA,9,37.58,54,24.25,29.36,45.81,1,0.78,0.78,0.11
Jimmer Fredette,NOP,PG,0,N/A,4,6.94,8.5,5.25,5.79,8.09,0,0,0,0
Cory Joseph,SAS,PG,0,N/A,9,14.53,25.25,5.75,8.72,20.33,0,0,0,0
Isaiah Thomas,PHO,PG,0,N/A,10,27.25,45.75,10.25,17.09,37.41,0,0,0,0
Iman Shumpert,NYK,SG,4800.00,vs. DEN,10,23.43,35.5,2,14.43,32.42,0.9,0.7,0.7,0.2
Norris Cole,MIA,PG,4200.00,vs. MIL,9,18.64,29.75,7.5,9.18,28.1,0.56,0.56,0.56,0.44
Reggie Jackson,OKC,PG,8100.00,vs. HOU,7,41.21,46.25,32.5,35.87,46.56,1,1,0.57,0
Alec Burks,UTA,SG,0,N/A,11,23.57,30,17,19.99,27.15,0,0,0,0
Shelvin Mack,ATL,PG,0,N/A,7,10,19.25,0,2.83,17.17,0,0,0,0
Lance Thomas,OKC,SF,3300.00,vs. HOU,10,15.18,31.25,7.25,6.94,23.41,0.6,0.4,0.4,0.4
Donald Sloan,IND,PG,0,N/A,11,26.52,48.5,9.75,15.97,37.07,0,0,0,0
Greg Smith,DAL,PF,0,N/A,5,3.6,10.75,0,-0.17,7.37,0,0,0,0
