player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Dennis Schroder,ATL,PG,0,N/A,8,16.31,25.5,2.25,8.34,24.28,0,0,0,0
P.J. Hairston,CHA,SG,0,N/A,7,10.11,19.5,4.5,5.16,15.05,0,0,0,0
Noah Vonleh,CHA,PF,0,N/A,1,2,2,2,2,2,0,0,0,0
Shabazz Napier,MIA,PG,3100.00,vs. MIL,9,12.58,18.75,6.5,8.61,16.56,0.67,0.56,0.33,0.11
James Ennis,MIA,SG,3000.00,vs. MIL,8,6.5,12.5,2.5,3.35,9.65,0.25,0.13,0,0
Andre Dawkins,MIA,SG,3000.00,vs. MIL,1,0,0,0,0,0,0,0,0,0
Aaron Gordon,ORL,PF,0,N/A,11,11.84,31,3.5,4.18,19.5,0,0,0,0
Elfrid Payton,ORL,PG,0,N/A,11,20.25,34,6.75,10.65,29.85,0,0,0,0
Devyn Marble,ORL,SF,0,N/A,1,5.25,5.25,5.25,5.25,5.25,0,0,0,0
Glen Rice,WAS,SG,0,N/A,6,3.08,5.75,0,1.16,5,0,0,0,0
Jose Barea,DAL,PG,0,N/A,8,17.16,28.75,9,10.91,23.4,0,0,0,0
Nick Johnson,HOU,SG,3000.00,@ OKC,3,1.08,2,0,0.26,1.91,0,0,0,0
Tarik Black,HOU,PF,3000.00,@ OKC,7,7.14,17,2.75,2.82,11.47,0.14,0.14,0.14,0
Kostas Papanikolaou,HOU,SF,3700.00,@ OKC,9,17.78,29.25,8.5,10.76,24.8,0.67,0.56,0.56,0.22
Joey Dorsey,HOU,PF,3000.00,@ OKC,4,3.13,6.75,0,0.65,5.6,0,0,0,0
Clint Capela,HOU,PF,3000.00,@ OKC,2,2.38,4.75,0,0,4.75,0,0,0,0
Russ Smith,NOP,PG,0,N/A,2,-0.5,0,-1,-1,0,0,0,0,0
Patric Young,NOP,PF,0,N/A,1,0,0,0,0,0,0,0,0,0
Kyle Anderson,SAS,SF,0,N/A,4,8.13,24,0,-1.23,17.48,0,0,0,0
Jeff Ayres,SAS,C,0,N/A,6,5.83,13,1.25,1.82,9.85,0,0,0,0
Gary Harris,DEN,SG,3300.00,@ NYK,1,25.75,25.75,25.75,25.75,25.75,1,1,1,1
Erick Green,DEN,PG,3000.00,@ NYK,1,8.75,8.75,8.75,8.75,8.75,0,0,0,0
Jusuf Nurkic,DEN,C,3000.00,@ NYK,6,13,18.25,7.5,9.41,16.59,0.83,0.67,0.33,0.17
Andrew Wiggins,MIN,SG,0,N/A,9,17.83,27.25,10.25,12.41,23.25,0,0,0,0
Glenn Robinson,MIN,SF,0,N/A,2,1.13,2.25,0,0,2.25,0,0,0,0
Zach LaVine,MIN,SG,0,N/A,5,15.75,23.75,7.5,9.86,21.64,0,0,0,0
Perry Jones,OKC,SF,3000.00,vs. HOU,4,17.25,35,4.75,4.91,29.59,0.5,0.5,0.5,0.5
Dante Exum,UTA,PG,0,N/A,10,14.03,24,7,8.08,19.97,0,0,0,0
Joe Ingles,UTA,SF,0,N/A,9,8.94,17.25,1.5,3.54,14.35,0,0,0,0
Rodney Hood,UTA,SF,0,N/A,5,12.8,18.5,5.75,8.13,17.47,0,0,0,0
C.J. Wilcox,LAC,SG,0,N/A,1,0,0,0,0,0,0,0,0,0
Jordan Clarkson,LAL,PG,3000.00,vs. GSW,6,10.88,18,5.5,6.35,15.4,0.5,0.33,0.33,0.17
Julius Randle,LAL,PF,0,N/A,1,1.5,1.5,1.5,1.5,1.5,0,0,0,0
Tyler Ennis,PHO,PG,0,N/A,1,7,7,7,7,7,0,0,0,0
Nik Stauskas,SAC,SG,0,N/A,8,7.25,16.25,1,2.52,11.98,0,0,0,0
Will Cherry,CLE,PG,0,N/A,3,5.58,12.25,1.25,0.8,10.37,0,0,0,0
Kalin Lucas,MEM,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Drew Gordon,PHI,PF,0,N/A,2,8.75,9.25,8.25,8.25,9.25,0,0,0,0
