"collection1"
"player","team","fppg","max","min","range","stdev"
"Kendrick Perkins","OKC","11.6","25.4","0","25.4","5.8"
"Tyler Zeller","CLE","11.4","38.5","-2","40.5","9"
"Bismack Biyombo","CHA","11.1","27.2","0.2","27","6.3"
"Robert Sacre","LAL","11.1","36.4","1.2","35.2","7.5"
"Donatas Motiejunas","HOU","11.1","28.5","0","28.5","8.1"
"Greg Stiemsma","NOP","11","29.7","-1.8","31.5","7.1"
"Steven Adams","OKC","10.7","41.5","0","41.5","7.9"
"Marreese Speights","GSW","10.3","46.1","0","46.1","7.7"
"Vitor Faverani","BOS","10.2","46.1","0","46.1","9.9"
"Ian Mahinmi","IND","10.1","24.4","-1.6","26","6"
"Joel Freeland","POR","9.7","20.9","0","20.9","4.9"
"Kevin Seraphin","WAS","9.2","25.9","0","25.9","7.4"
"Rudy Gobert","UTA","8.7","24.4","0","24.4","7.5"
"JaVale McGee","DEN","8.7","16.4","5.1","11.3","4.6"
"Jason Maxiell","ORL","8.6","23.2","0","23.2","6.6"
"Gorgui Dieng","MIN","8.5","56.3","0","56.3","10.6"
"Miroslav Raduljica","MIL","8.2","23.9","0","23.9","6.8"
"Chuck Hayes","TOR","7.9","26.6","0","26.6","6.2"
"Meyers Leonard","POR","7.3","22","-1","23","5.6"
"Byron Mullens","LAC","7.1","25.2","-2","27.2","6.8"
"Greg Smith","HOU","7.1","19.4","0","19.4","6.5"
"Aron Baynes","SAS","7.1","22.6","-1","23.6","6.3"
"Jeff Withey","NOP","7.1","31","0","31","6.3"
"Dewayne Dedmon","PHI","6.5","17.4","0","17.4","5.4"
"Alex Len","PHX","6.1","20","0","20","5"
"Aaron Gray","SAC","5.9","24.1","-1","25.1","6.2"
"Nazr Mohammed","CHI","5.3","20.5","-2","22.5","4.7"
"Cole Aldrich","NYK","5","30.5","-1","31.5","6.2"
"Ryan Hollins","LAC","4.9","19.8","-1","20.8","4"
"Hilton Armstrong","GSW","4.4","12.3","0","12.3","3.8"
"Solomon Jones","ORL","4.2","14.6","0","14.6","4.9"
"Hasheem Thabeet","OKC","4.2","15","-1","16","4.9"
"Bernard James","DAL","3.5","18.2","-1","19.2","4.5"
"Andris Biedrins","UTA","3.4","8.4","0","8.4","3"
"Joel Anthony","BOS","2.6","11.2","0","11.2","3.4"
"Viacheslav Kravtsov","PHX","1.9","12.1","-1","13.1","3"

