Position,Name,Salary,GameInfo,AvgPointsPerGame
PG,Erick Green,3000,Den@Uta 09:00PM ET,6.875
C,Hassan Whiteside,3000,Mia@Was 07:00PM ET,0
PG,Jared Cunningham,3000,Min@LAC 10:30PM ET,2.111
SG,Andre Dawkins,3000,Mia@Was 07:00PM ET,1.417
PF,Robert Covington,3000,SA@Phi 07:00PM ET,9.143
PF,Kevin Seraphin,3000,Mia@Was 07:00PM ET,11.196
SF,Reggie Bullock,3000,Min@LAC 10:30PM ET,5.864
PG,Cory Joseph,3000,SA@Phi 07:00PM ET,14.481
SG,James Ennis,3000,Mia@Was 07:00PM ET,9.517
SF,Rodney Hood,3000,Den@Uta 09:00PM ET,10.786
PF,Jakarr Sampson,3000,SA@Phi 07:00PM ET,6.225
SF,Kyle Anderson,3000,SA@Phi 07:00PM ET,6.75
SF,Glenn Robinson III,3000,Min@LAC 10:30PM ET,2.05
SF,Jerami Grant,3000,SA@Phi 07:00PM ET,3.25
SG,Gary Harris,3000,Den@Uta 09:00PM ET,12.438
C,Joel Embiid,3000,SA@Phi 07:00PM ET,0
C,Jusuf Nurkic,3000,Den@Uta 09:00PM ET,9.722
