Position,Name,Salary,GameInfo,AvgPointsPerGame
PF,Anthony Davis,11200,Min@NO 08:00PM ET,57.929
SF,LeBron James,10700,Cle@Bos 07:30PM ET,46.875
SG,James Harden,10300,Phi@Hou 08:00PM ET,49.219
PF,Kevin Love,8900,Cle@Bos 07:30PM ET,37.958
SG,Kobe Bryant,8800,SA@LAL 10:00PM ET,42.906
SF,Carmelo Anthony,8700,Uta@NY 07:30PM ET,34.528
C,Dwight Howard,8600,Phi@Hou 08:00PM ET,42.179
PG,Rajon Rondo,8500,Cle@Bos 07:30PM ET,41.875
C,Al Jefferson,8400,Cha@Pho 09:00PM ET,37.813
C,Chris Bosh,8300,Mia@Atl 07:30PM ET,41.313
PF,Paul Millsap,8200,Mia@Atl 07:30PM ET,37.214
C,Nikola Vucevic,8100,Mil@Orl 07:00PM ET,41.639
PF,Tim Duncan,8000,SA@LAL 10:00PM ET,38.458
SF,Gordon Hayward,7900,Uta@NY 07:30PM ET,36.139
SG,Tyreke Evans,7700,Min@NO 08:00PM ET,37.714
PG,Kyrie Irving,7700,Cle@Bos 07:30PM ET,34.958
SG,Dwyane Wade,7600,Mia@Atl 07:30PM ET,36.688
SF,Josh Smith,7600,Det@OKC 08:00PM ET,34.625
PG,Reggie Jackson,7600,Det@OKC 08:00PM ET,40.5
PG,Kemba Walker,7500,Cha@Pho 09:00PM ET,32.063
PG,Tony Wroten,7500,Phi@Hou 08:00PM ET,39.25
PG,Ty Lawson,7400,Den@Ind 07:00PM ET,33
C,Roy Hibbert,7300,Den@Ind 07:00PM ET,34.222
PG,Jrue Holiday,7300,Min@NO 08:00PM ET,32.321
PF,Greg Monroe,7300,Det@OKC 08:00PM ET,36.417
PF,Derrick Favors,7300,Uta@NY 07:30PM ET,33.417
PF,Serge Ibaka,7100,Det@OKC 08:00PM ET,30.833
PG,Brandon Knight,7100,Mil@Orl 07:00PM ET,37.219
PG,Jeff Teague,7000,Mia@Atl 07:30PM ET,33.75
PF,Jared Sullinger,7000,Cle@Bos 07:30PM ET,33.036
C,Al Horford,6900,Mia@Atl 07:30PM ET,30.5
SF,Jeff Green,6800,Cle@Bos 07:30PM ET,32.321
PG,Brandon Jennings,6800,Det@OKC 08:00PM ET,30
SF,Tobias Harris,6800,Mil@Orl 07:00PM ET,32.361
PG,Michael Carter-Williams,6800,Phi@Hou 08:00PM ET,34
C,Andre Drummond,6800,Det@OKC 08:00PM ET,26.719
PG,Tony Parker,6700,SA@LAL 10:00PM ET,28.25
C,Jordan Hill,6700,SA@LAL 10:00PM ET,32.125
SG,Lance Stephenson,6700,Cha@Pho 09:00PM ET,30.344
SF,Trevor Ariza,6600,Phi@Hou 08:00PM ET,30.625
SF,Kawhi Leonard,6600,SA@LAL 10:00PM ET,32
C,Nikola Pekovic,6300,Min@NO 08:00PM ET,29.286
PF,Markieff Morris,6300,Cha@Pho 09:00PM ET,29.406
SG,Eric Bledsoe,6300,Cha@Pho 09:00PM ET,27.719
PF,Kenneth Faried,6200,Den@Ind 07:00PM ET,26.214
PG,Goran Dragic,6200,Cha@Pho 09:00PM ET,25.188
PF,David West,6000,Den@Ind 07:00PM ET,0
PF,Thaddeus Young,6000,Min@NO 08:00PM ET,27.036
SG,Kyle Korver,5900,Mia@Atl 07:30PM ET,31.25
SG,Kevin Martin,5900,Min@NO 08:00PM ET,28.333
SF,Chris Copeland,5900,Den@Ind 07:00PM ET,26.806
PG,Jeremy Lin,5800,SA@LAL 10:00PM ET,24.688
PG,Isaiah Thomas,5800,Cha@Pho 09:00PM ET,27.75
C,Kelly Olynyk,5800,Cle@Bos 07:30PM ET,27.643
SG,Evan Fournier,5800,Mil@Orl 07:00PM ET,26.583
PG,Jose Calderon,5700,Uta@NY 07:30PM ET,0
C,Omer Asik,5600,Min@NO 08:00PM ET,28.107
PF,Nerlens Noel,5600,Phi@Hou 08:00PM ET,23.292
PF,Carlos Boozer,5500,SA@LAL 10:00PM ET,23.719
SF,Luol Deng,5500,Mia@Atl 07:30PM ET,25.094
PG,George Hill,5500,Den@Ind 07:00PM ET,0
PF,Ryan Anderson,5500,Min@NO 08:00PM ET,27.179
PG,Ricky Rubio,5500,Min@NO 08:00PM ET,32.7
SG,Victor Oladipo,5500,Mil@Orl 07:00PM ET,0
PF,Terrence Jones,5500,Phi@Hou 08:00PM ET,31.25
C,Enes Kanter,5400,Uta@NY 07:30PM ET,21.556
PG,Trey Burke,5300,Uta@NY 07:30PM ET,23.5
PF,Channing Frye,5200,Mil@Orl 07:00PM ET,22.031
PG,Donald Sloan,5200,Den@Ind 07:00PM ET,28.111
SG,Iman Shumpert,5200,Uta@NY 07:30PM ET,25.806
SG,Alec Burks,5200,Uta@NY 07:30PM ET,23.583
SG,Avery Bradley,5100,Cle@Bos 07:30PM ET,23.464
C,Anderson Varejao,5000,Cle@Bos 07:30PM ET,22.5
SF,Solomon Hill,5000,Den@Ind 07:00PM ET,23.139
SG,Manu Ginobili,4900,SA@LAL 10:00PM ET,23.292
C,Larry Sanders,4900,Mil@Orl 07:00PM ET,24.219
PG,Elfrid Payton,4900,Mil@Orl 07:00PM ET,22
PF,Amar'e Stoudemire,4800,Uta@NY 07:30PM ET,24.583
C,Henry Sims,4800,Phi@Hou 08:00PM ET,19.406
SF,K.J. McDaniels,4800,Phi@Hou 08:00PM ET,18.094
SG,Giannis Antetokounmpo,4800,Mil@Orl 07:00PM ET,20.344
SG,Gerald Green,4600,Cha@Pho 09:00PM ET,22.438
PG,Patrick Beverley,4600,Phi@Hou 08:00PM ET,19.917
SF,Jabari Parker,4600,Mil@Orl 07:00PM ET,21.906
SF,DeMarre Carroll,4500,Mia@Atl 07:30PM ET,24.833
C,Miles Plumlee,4500,Cha@Pho 09:00PM ET,19.406
C,Timofey Mozgov,4500,Den@Ind 07:00PM ET,19.214
SG,Jeremy Lamb,4500,Det@OKC 08:00PM ET,21.563
SF,Andrew Wiggins,4500,Min@NO 08:00PM ET,17.571
SG,J.R. Smith,4400,Uta@NY 07:30PM ET,19.969
PG,Mario Chalmers,4400,Mia@Atl 07:30PM ET,21.375
PF,Ed Davis,4400,SA@LAL 10:00PM ET,23.781
PF,Tristan Thompson,4400,Cle@Bos 07:30PM ET,20.042
SG,Arron Afflalo,4300,Den@Ind 07:00PM ET,17.321
SG,Danny Green,4300,SA@LAL 10:00PM ET,19.071
SF,Wilson Chandler,4300,Den@Ind 07:00PM ET,20.036
SF,Shawn Marion,4200,Cle@Bos 07:30PM ET,13.25
PF,Boris Diaw,4200,SA@LAL 10:00PM ET,21.679
SF,P.J. Tucker,4200,Cha@Pho 09:00PM ET,21.05
SG,O.J. Mayo,4200,Mil@Orl 07:00PM ET,23.219
PF,Marcus Morris,4200,Cha@Pho 09:00PM ET,19.938
PG,Isaiah Canaan,4200,Phi@Hou 08:00PM ET,15.438
C,Gorgui Dieng,4200,Min@NO 08:00PM ET,20.321
PF,Luis Scola,4100,Den@Ind 07:00PM ET,19.389
SG,Eric Gordon,4100,Min@NO 08:00PM ET,16.536
PF,Brandon Davies,4100,Phi@Hou 08:00PM ET,18.125
SG,Andre Roberson,4100,Det@OKC 08:00PM ET,19.5
SF,Michael Kidd-Gilchrist,4100,Cha@Pho 09:00PM ET,20.458
PG,Zach LaVine,4100,Min@NO 08:00PM ET,13.688
SG,Anthony Morrow,4000,Det@OKC 08:00PM ET,23.625
SF,Shawne Williams,4000,Mia@Atl 07:30PM ET,21.531
PF,Andrea Bargnani,4000,Uta@NY 07:30PM ET,0
SF,Donatas Motiejunas,4000,Phi@Hou 08:00PM ET,14.563
SG,Kentavious Caldwell-Pope,4000,Det@OKC 08:00PM ET,21.25
