"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG","Toure' Murry",3000,"Cle@Uta 09:00PM ET",0
"SF","Omri Casspi",3000,"Den@Sac 10:00PM ET",14.688
"SG","Ian Clark",3000,"Cle@Uta 09:00PM ET",2.750
"SF","Derrick Williams",3000,"Den@Sac 10:00PM ET",7.333
"SG","C.J. Wilcox",3000,"LAC@GS 10:30PM ET",0
"PG","Erick Green",3000,"Den@Sac 10:00PM ET",0
"PG","Jared Cunningham",3000,"LAC@GS 10:30PM ET",2.750
"SF","Jordan Hamilton",3000,"Cle@Uta 09:00PM ET",0
"PG","Will Cherry",3000,"Cle@Uta 09:00PM ET",0
"PG","Matthew Dellavedova",3000,"Cle@Uta 09:00PM ET",8.417
"SG","Joe Harris",3000,"Cle@Uta 09:00PM ET",1.625
"C","Alex Kirk",3000,"Cle@Uta 09:00PM ET",3.500
"SF","Reggie Bullock",3000,"LAC@GS 10:30PM ET",17.500
"SF","Joe Ingles",3000,"Cle@Uta 09:00PM ET",4.438
"PF","Eric Moreland",3000,"Den@Sac 10:00PM ET",0
"SG","Zoran Dragic",3000,"Mem@Pho 09:00PM ET",0
"PG","Ray McCallum",3000,"Den@Sac 10:00PM ET",2.750
"SF","Rodney Hood",3000,"Cle@Uta 09:00PM ET",11.750
"PF","Jarnell Stokes",3000,"Mem@Pho 09:00PM ET",0
"C","Ognjen Kuzmic",3000,"LAC@GS 10:30PM ET",3.250
"SF","T.J. Warren",3000,"Mem@Pho 09:00PM ET",0
"SG","Jordan Adams",3000,"Mem@Pho 09:00PM ET",0.000
"SG","Nik Stauskas",3000,"Den@Sac 10:00PM ET",6.125
"SG","Archie Goodwin",3000,"Mem@Pho 09:00PM ET",3.583
"SG","Gary Harris",3000,"Den@Sac 10:00PM ET",0
"C","Rudy Gobert",3000,"Cle@Uta 09:00PM ET",13.063
"PG","Nemanja Nedovic",3000,"LAC@GS 10:30PM ET",0
"PG","Tyler Ennis",3000,"Mem@Pho 09:00PM ET",3.875
"C","Jusuf Nurkic",3000,"Den@Sac 10:00PM ET",10.167
